pandal_id,idol_height,idol_width,estimated_weight,idol_type
1,24.5,11.2,2882,Clay
2,4.4,2.0,78,Eco-Friendly
3,15.2,7.1,1109,POP
4,39.9,18.0,7635,POP
5,29.4,13.3,3519,Eco-Friendly
6,5.8,2.8,137,Eco-Friendly
7,5.9,2.9,165,POP
8,7.8,3.8,291,POP
9,4.9,2.1,116,POP
10,24.1,10.7,2786,POP
11,46.2,20.8,8722,Eco-Friendly
12,14.6,6.8,1019,Clay
13,27.9,12.3,3184,Eco-Friendly
14,6.2,2.8,182,Synthetic
15,18.0,7.9,1315,Eco-Friendly
16,17.0,7.3,1385,POP
17,63.7,28.7,19480,Synthetic
18,7.5,3.4,226,Eco-Friendly
19,12.7,5.8,771,Clay
20,4.5,2.1,96,POP
21,11.7,5.2,554,Eco-Friendly
22,24.0,10.8,2755,Clay
23,5.6,2.7,129,Eco-Friendly
24,9.1,4.4,399,POP
25,10.9,5.1,485,Eco-Friendly
26,24.1,10.7,2780,POP
27,14.0,6.0,944,Clay
28,26.8,12.0,3447,Synthetic
29,31.1,13.7,3934,Eco-Friendly
30,11.5,5.0,537,Eco-Friendly
31,7.9,3.5,255,Eco-Friendly
32,4.6,2.1,100,Synthetic
33,30.5,13.6,4478,POP
34,5.6,2.7,150,POP
35,12.9,6.0,675,Eco-Friendly
36,37.1,16.5,6621,Synthetic
37,68.1,30.4,18921,Eco-Friendly
38,20.4,9.3,1700,Eco-Friendly
39,6.2,2.8,157,Eco-Friendly
40,33.4,15.2,4544,Eco-Friendly
41,37.7,17.2,6822,Clay
42,4.3,1.7,90,POP
43,18.7,8.7,1682,Synthetic
44,11.8,5.4,673,POP
45,19.9,8.8,1621,Eco-Friendly
46,12.6,5.7,647,Eco-Friendly
47,17.4,8.1,1240,Eco-Friendly
48,11.0,4.9,585,POP
49,6.9,3.0,192,Eco-Friendly
50,39.9,17.8,7648,POP
51,10.3,4.7,510,Clay
52,18.9,8.7,1449,Eco-Friendly
53,10.8,5.0,556,Synthetic
54,30.4,13.5,3765,Eco-Friendly
55,4.5,2.2,99,Clay
56,7.5,3.6,267,Clay
57,4.8,1.9,92,Eco-Friendly
58,10.4,4.6,437,Eco-Friendly
59,11.8,5.2,668,Clay
60,15.4,6.8,1136,Clay
61,7.1,3.0,240,POP
62,55.9,25.3,15020,POP
63,22.1,9.7,2000,Eco-Friendly
64,5.0,2.1,102,Eco-Friendly
65,5.6,2.3,129,Eco-Friendly
66,15.9,7.0,1219,Synthetic
67,36.1,16.3,6244,POP
68,33.5,14.8,4575,Eco-Friendly
69,4.2,2.1,83,POP
70,11.4,5.1,533,Eco-Friendly
71,34.2,15.5,4782,Eco-Friendly
72,11.5,5.2,635,POP
73,34.6,15.3,5758,Clay
74,5.6,2.6,147,Clay
75,23.2,10.5,2196,Eco-Friendly
76,8.7,3.6,308,Eco-Friendly
77,6.6,2.9,210,POP
78,26.8,12.2,3440,POP
79,5.7,2.8,154,Clay
80,7.2,3.5,250,Clay
81,14.5,6.7,1011,Clay
82,9.7,4.3,448,Clay
83,18.2,8.4,1351,Eco-Friendly
84,23.5,10.5,2644,Synthetic
85,57.2,25.8,15706,Clay
86,20.5,9.1,2024,Synthetic
87,15.9,7.2,1032,Eco-Friendly
88,13.2,5.9,831,POP
89,41.7,19.0,8335,Clay
90,7.3,3.4,215,Eco-Friendly
91,14.0,6.5,804,Eco-Friendly
92,13.3,5.9,718,Eco-Friendly
93,22.1,9.8,1983,Eco-Friendly
94,8.1,3.6,266,Eco-Friendly
95,13.8,6.3,908,POP
96,5.5,2.3,145,POP
97,25.2,11.6,2586,Eco-Friendly
98,7.7,3.7,241,Eco-Friendly
99,32.8,14.9,5178,POP
100,10.7,5.0,548,Synthetic
101,7.6,3.4,274,POP
102,12.5,5.6,640,Eco-Friendly
103,24.7,11.4,2938,POP
104,10.9,5.0,482,Eco-Friendly
105,14.6,6.5,1020,Clay
106,33.8,15.0,5480,Clay
107,7.9,3.4,303,Clay
108,37.4,16.9,5717,Eco-Friendly
109,9.9,4.2,471,POP
110,35.9,16.3,5255,Eco-Friendly
111,16.3,7.6,1273,POP
112,7.0,2.9,201,Eco-Friendly
113,20.2,9.3,1959,Clay
114,24.7,10.9,2923,POP
115,25.4,11.6,3104,POP
116,7.6,3.5,278,Synthetic
117,10.7,4.8,554,Synthetic
118,11.2,5.3,507,Eco-Friendly
119,24.5,10.8,2880,Synthetic
120,15.7,6.8,1177,POP
121,12.4,5.4,630,Eco-Friendly
122,5.6,2.6,127,Eco-Friendly
123,7.6,3.4,276,POP
124,4.2,1.7,70,Eco-Friendly
125,20.5,9.2,1711,Eco-Friendly
126,11.5,5.3,541,Eco-Friendly
127,12.8,5.8,669,Eco-Friendly
128,40.2,18.2,6578,Eco-Friendly
129,14.5,6.4,1004,POP
130,13.2,5.7,714,Eco-Friendly
131,13.9,6.4,788,Eco-Friendly
132,11.7,5.1,561,Eco-Friendly
133,33.5,15.3,4567,Eco-Friendly
134,7.6,3.5,274,POP
135,32.2,14.5,4974,POP
136,5.7,2.4,133,Eco-Friendly
137,6.4,2.7,198,Clay
138,8.7,3.7,309,Eco-Friendly
139,4.4,2.1,76,Eco-Friendly
140,32.9,14.7,5185,Synthetic
141,6.3,3.1,161,Eco-Friendly
142,4.7,2.2,105,Synthetic
143,11.3,5.3,523,Eco-Friendly
144,11.0,4.9,491,Eco-Friendly
145,13.4,5.8,858,Clay
146,6.1,2.5,153,Eco-Friendly
147,20.5,9.0,2015,POP
148,35.2,16.0,5955,Clay
149,36.9,16.4,6540,POP
150,39.0,17.8,6203,Eco-Friendly
151,13.1,5.6,817,POP
152,16.6,7.3,1328,POP
153,14.4,6.3,989,Clay
154,31.6,14.1,4789,Clay
155,31.6,14.3,4068,Eco-Friendly
156,33.2,15.2,5275,POP
157,10.3,4.8,512,POP
158,21.2,9.6,2157,POP
159,22.5,10.3,2435,POP
160,12.0,5.6,689,POP
161,16.1,7.5,1058,Eco-Friendly
162,9.0,3.9,393,POP
163,34.1,15.5,5593,Clay
164,14.4,6.5,989,Clay
165,16.5,7.5,1312,Clay
166,6.9,3.2,193,Eco-Friendly
