pandal_id,expected_immersion_date,preferred_time,number_of_participants,starting_location
1,2026-09-21,15:30:00,2438,LB Nagar
2,2026-09-27,17:30:00,153,Chandanagar
3,2026-09-27,20:00:00,1926,Charminar
4,2026-09-21,08:30:00,4100,Kukatpally
5,2026-09-20,15:30:00,4547,Chandanagar
6,2026-09-26,17:30:00,104,LB Nagar
7,2026-09-19,19:30:00,122,Jubilee Hills
8,2026-09-27,20:00:00,58,Kukatpally
9,2026-09-24,19:00:00,57,Kukatpally
10,2026-09-19,21:00:00,1825,Kukatpally
11,2026-09-27,17:00:00,9045,Chandanagar
12,2026-09-22,18:00:00,470,Nallakunta
13,2026-09-23,20:00:00,4567,Secunderabad
14,2026-09-26,18:30:00,173,Mehdipatnam
15,2026-09-24,18:30:00,1320,Dilsukhnagar
16,2026-09-24,16:00:00,1392,Tolichowki
17,2026-09-26,17:00:00,11593,Charminar
18,2026-09-23,08:30:00,97,Secunderabad
19,2026-09-22,20:30:00,746,LB Nagar
20,2026-09-21,20:30:00,191,Kondapur
21,2026-09-19,20:00:00,660,Kondapur
22,2026-09-21,17:30:00,1284,Uppal
23,2026-09-24,16:30:00,120,Dilsukhnagar
24,2026-09-20,16:30:00,227,Miyapur
25,2026-09-25,19:30:00,547,Dilsukhnagar
26,2026-09-27,18:30:00,1432,LB Nagar
27,2026-09-23,18:00:00,517,Habsiguda
28,2026-09-23,13:00:00,3431,Dilsukhnagar
29,2026-09-21,19:30:00,3091,Patancheru
30,2026-09-22,17:30:00,280,Dilsukhnagar
31,2026-09-22,18:00:00,178,Dilsukhnagar
32,2026-09-24,13:30:00,117,Dilsukhnagar
33,2026-09-27,20:00:00,4731,Secunderabad
34,2026-09-22,14:00:00,173,Jubilee Hills
35,2026-09-19,20:30:00,602,Madhapur
36,2026-09-25,18:30:00,4510,Charminar
37,2026-09-24,21:00:00,9116,Malkajgiri
38,2026-09-26,20:00:00,943,Uppal
39,2026-09-19,19:00:00,97,Habsiguda
40,2026-09-21,13:00:00,4970,Rajendranagar
41,2026-09-18,18:00:00,4195,Charminar
42,2026-09-21,19:30:00,133,Begumpet
43,2026-09-27,19:30:00,1713,Patancheru
44,2026-09-21,11:00:00,360,Uppal
45,2026-09-27,22:00:00,2215,Kukatpally
46,2026-09-22,19:00:00,669,Suchitra
47,2026-09-19,20:30:00,1237,Dilsukhnagar
48,2026-09-26,17:00:00,680,ECIL
49,2026-09-21,19:30:00,98,Uppal
50,2026-09-26,19:30:00,3568,Kukatpally
51,2026-09-27,18:00:00,315,Shamshabad
