pandal_id,vehicle_number,vehicle_type,length,width,number_of_wheels
1,TS11IZ1106,Lorry,8.5,2.5,10
2,TS11GW2139,Mini Truck,4.8,1.9,4
3,TS11XH3677,Truck,8.5,2.5,10
4,TS10UO3340,Trailer,12.0,2.6,14
5,TS11CM7252,Lorry,12.0,2.6,14
6,TS11DU5889,Mini Truck,4.8,1.9,4
7,TS08VP3705,Mini Truck,4.8,1.9,4
8,TS07CW1964,Pickup Van,4.8,1.9,4
9,TS07VU2612,Mini Truck,4.8,1.9,4
10,TS08NP8886,Truck,8.5,2.5,10
11,TS09BB8811,Hydraulic Vehicle,14.5,2.8,16
12,TS09HI7484,Tractor,5.8,2.2,6
13,TS08OR5956,Lorry,12.0,2.6,14
14,TS09BC7939,Mini Truck,4.8,1.9,4
15,TS07JL1653,Truck,8.5,2.5,10
16,TS09FZ2771,Lorry,8.5,2.5,10
17,TS11KA2889,Hydraulic Vehicle,14.5,2.8,16
18,TS07VK6143,Pickup Van,4.8,1.9,4
19,TS08NZ6279,Mini Truck,5.8,2.2,6
20,TS11YC8461,Pickup Van,4.8,1.9,4
21,TS08ZO9702,Mini Truck,5.8,2.2,6
22,TS10CW5681,Lorry,8.5,2.5,10
23,TS11MP1096,Mini Truck,4.8,1.9,4
24,TS08TR1441,Tractor,5.8,2.2,6
25,TS11BL4673,Mini Truck,5.8,2.2,6
26,TS08JD1420,Truck,8.5,2.5,10
27,TS11UK1207,Tractor,5.8,2.2,6
28,TS07IO4995,Trailer,12.0,2.6,14
29,TS10RY4937,Lorry,12.0,2.6,14
30,TS09HD4155,Tractor,5.8,2.2,6
31,TS11EI1745,Pickup Van,4.8,1.9,4
32,TS07SU1878,Pickup Van,4.8,1.9,4
33,TS11XD4404,Trailer,12.0,2.6,14
34,TS10DR4683,Pickup Van,4.8,1.9,4
35,TS10XK5102,Tractor,5.8,2.2,6
36,TS10LN6460,Trailer,12.0,2.6,14
37,TS11ON1888,Hydraulic Vehicle,14.5,2.8,16
38,TS11NC4681,Lorry,8.5,2.5,10
39,TS10KZ9318,Pickup Van,4.8,1.9,4
40,TS08YN1715,Lorry,12.0,2.6,14
41,TS10UE2225,Trailer,12.0,2.6,14
42,TS10DY2646,Mini Truck,4.8,1.9,4
43,TS10SE4804,Lorry,8.5,2.5,10
44,TS10DH7248,Tractor,5.8,2.2,6
45,TS08UD1645,Truck,8.5,2.5,10
46,TS07OC3306,Tractor,5.8,2.2,6
47,TS10AT6374,Lorry,8.5,2.5,10
48,TS11XX3531,Tractor,5.8,2.2,6
49,TS10CV4475,Mini Truck,4.8,1.9,4
50,TS08DV1422,Lorry,12.0,2.6,14
51,TS11JO1510,Mini Truck,5.8,2.2,6
52,TS10QT8048,Lorry,8.5,2.5,10
53,TS08VP2099,Tractor,5.8,2.2,6
54,TS09DS9313,Lorry,12.0,2.6,14
55,TS09WY6062,Mini Truck,4.8,1.9,4
56,TS07EF1815,Mini Truck,4.8,1.9,4
57,TS07GJ4460,Mini Truck,4.8,1.9,4
58,TS11NS7626,Tractor,5.8,2.2,6
59,TS08KY3754,Tractor,5.8,2.2,6
60,TS10YS8354,Truck,8.5,2.5,10
61,TS11TQ7299,Mini Truck,4.8,1.9,4
62,TS08WO8199,Hydraulic Vehicle,14.5,2.8,16
63,TS11VE6731,Truck,8.5,2.5,10
64,TS09YP4145,Mini Truck,4.8,1.9,4
65,TS10LV4891,Pickup Van,4.8,1.9,4
66,TS11EI1854,Lorry,8.5,2.5,10
67,TS10QL4862,Lorry,12.0,2.6,14
68,TS07YJ4893,Lorry,12.0,2.6,14
69,TS11LC9618,Mini Truck,4.8,1.9,4
70,TS08ZE2033,Mini Truck,5.8,2.2,6
71,TS07ZL8159,Lorry,12.0,2.6,14
72,TS09VJ6021,Tractor,5.8,2.2,6
73,TS07EC4866,Lorry,12.0,2.6,14
74,TS10QM2929,Pickup Van,4.8,1.9,4
75,TS09FW3852,Truck,8.5,2.5,10
76,TS10SC3053,Tractor,5.8,2.2,6
77,TS08LQ5653,Pickup Van,4.8,1.9,4
78,TS11IU4453,Lorry,12.0,2.6,14
79,TS11EK6231,Mini Truck,4.8,1.9,4
80,TS08YF9163,Pickup Van,4.8,1.9,4
81,TS08IX6992,Mini Truck,5.8,2.2,6
82,TS08GT9341,Tractor,5.8,2.2,6
83,TS10AL6427,Lorry,8.5,2.5,10
84,TS07SW2800,Lorry,8.5,2.5,10
85,TS09FO9734,Hydraulic Vehicle,14.5,2.8,16
86,TS09RZ5480,Lorry,8.5,2.5,10
87,TS11WI3249,Truck,8.5,2.5,10
88,TS09KJ1969,Tractor,5.8,2.2,6
89,TS09JO9901,Hydraulic Vehicle,14.5,2.8,16
90,TS07MV2562,Mini Truck,4.8,1.9,4
91,TS07UJ7021,Mini Truck,5.8,2.2,6
92,TS07RQ4312,Tractor,5.8,2.2,6
93,TS10IA4570,Lorry,8.5,2.5,10
94,TS11EU6697,Tractor,5.8,2.2,6
95,TS07BZ7868,Mini Truck,5.8,2.2,6
96,TS11TY6253,Mini Truck,4.8,1.9,4
97,TS10NE5913,Trailer,12.0,2.6,14
98,TS07RX4120,Pickup Van,4.8,1.9,4
99,TS11WG7498,Lorry,12.0,2.6,14
100,TS09RS7841,Mini Truck,5.8,2.2,6
101,TS11BC1794,Mini Truck,4.8,1.9,4
102,TS11JA9228,Mini Truck,5.8,2.2,6
103,TS07CM7213,Truck,8.5,2.5,10
104,TS08KA4394,Mini Truck,5.8,2.2,6
105,TS08CK7499,Mini Truck,5.8,2.2,6
106,TS10KL2745,Lorry,12.0,2.6,14
107,TS09NM2387,Mini Truck,4.8,1.9,4
108,TS10DE5991,Trailer,12.0,2.6,14
109,TS09XW9044,Mini Truck,5.8,2.2,6
110,TS08UJ4965,Lorry,12.0,2.6,14
111,TS09FU1725,Truck,8.5,2.5,10
112,TS09NC2901,Pickup Van,4.8,1.9,4
113,TS11FK7985,Truck,8.5,2.5,10
114,TS11FL6340,Truck,8.5,2.5,10
115,TS08JD3999,Lorry,12.0,2.6,14
116,TS09AP3236,Mini Truck,4.8,1.9,4
117,TS11XY9115,Tractor,5.8,2.2,6
118,TS07YZ4882,Tractor,5.8,2.2,6
119,TS09SI9428,Truck,8.5,2.5,10
120,TS10CU2525,Lorry,8.5,2.5,10
121,TS09KJ6533,Tractor,5.8,2.2,6
122,TS09CU6905,Pickup Van,4.8,1.9,4
123,TS07AW6629,Pickup Van,4.8,1.9,4
124,TS10LX4490,Pickup Van,4.8,1.9,4
125,TS08QT9348,Lorry,8.5,2.5,10
126,TS10YC1273,Tractor,5.8,2.2,6
127,TS08RK7401,Tractor,5.8,2.2,6
128,TS08LE5403,Hydraulic Vehicle,14.5,2.8,16
129,TS08XQ1042,Tractor,5.8,2.2,6
130,TS07QV1862,Mini Truck,5.8,2.2,6
131,TS11PY4201,Mini Truck,5.8,2.2,6
